Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,region
0,Denmark,192.67,40.64,30.17,32.23,33.44,3.0,11.62,8.59,32.95,Europe
1,Switzerland,192.01,43.12,28.28,26.13,44.16,3.13,10.49,8.07,28.59,Europe
2,Finland,190.22,44.06,33.81,33.42,30.99,3.68,13.18,5.09,25.96,Europe
3,Australia,186.21,42.04,22.97,30.31,28.81,2.94,13.6,9.19,36.31,Oceania
4,Netherlands,183.67,35.95,28.68,29.58,29.22,2.97,11.66,10.86,34.71,Europe
5,Austria,182.5,33.83,31.32,32.33,28.9,4.46,10.78,9.11,31.74,Europe
6,Iceland,181.75,33.24,32.07,27.58,42.04,2.82,8.41,6.78,28.79,Europe
7,New Zealand,181.02,36.73,23.42,29.26,28.75,3.37,12.33,9.27,37.84,Oceania
8,Germany,179.78,40.13,25.56,28.74,25.58,3.67,12.14,11.38,32.54,Europe
9,Estonia,177.82,32.55,35.09,33.18,23.25,4.13,11.2,9.04,29.35,Europe
10,Sweden,175.95,42.06,21.88,28.62,28.87,3.83,12.6,7.47,30.58,Europe
11,Norway,175.19,33.93,24.79,28.55,38.94,3.36,10.36,7.81,27.4,Europe
12,Slovenia,172.15,28.34,33.74,27.61,22.84,4.48,11.67,10.28,33.15,Europe
13,United States,172.11,41.56,20.03,26.29,26.96,1.33,12.48,13.99,29.42,Americas
14,Spain,169.82,27.46,25.94,30.07,20.5,3.57,11.09,15.24,35.91,Europe
15,Japan,167.99,28.88,26.25,26.85,27.58,4.3,12.95,13.1,28.05,Asia
16,Oman,167.09,33.45,32.72,24.02,20.35,3.75,9.41,15.59,27.77,Asia
17,Canada,163.47,37.46,23.77,28.2,26.64,3.14,13.34,10.96,19.92,Americas
18,Portugal,162.91,19.54,27.81,28.41,19.57,5.02,11.85,12.21,38.46,Europe
19,United Kingdom,162.71,32.26,19.8,26.19,23.66,3.54,12.14,14.26,30.82,Europe
20,Qatar,162.29,38.58,30.44,25.32,22.12,2.01,10.26,21.09,12.44,Asia
21,Lithuania,159.42,24.78,28.67,29.77,18.97,4.66,11.17,12.33,29.03,Europe
22,Croatia,159.01,20.02,29.89,24.88,19.73,5.45,11.55,12.09,35.36,Europe
23,United Arab Emirates,156.67,32.35,29.78,23.68,21.89,1.86,13.01,18.07,15.98,Asia
24,Czech Republic,156.24,23.34,27.67,27.72,17.14,5.72,11.01,14.94,28.65,Europe
25,France,153.95,26.36,17.45,26.23,24.32,4.27,11.4,14.28,29.6,Europe
26,Ireland,153.53,28.77,19.41,18.46,27.0,2.66,13.4,12.09,31.7,Europe
27,Belgium,153.47,28.14,18.27,24.25,23.41,2.25,11.79,17.27,28.05,Europe
28,Slovakia,152.53,22.3,27.72,23.51,17.41,4.01,11.4,15.53,30.6,Europe
29,Saudi Arabia,150.56,35.53,26.22,21.0,17.17,0.99,10.16,23.12,16.33,Asia
30,Latvia,150.0,20.9,25.11,25.06,19.09,3.52,13.1,13.43,29.75,Europe
31,Israel,149.94,23.29,20.99,21.86,24.2,3.82,10.71,17.07,27.97,Asia
32,Cyprus,147.93,20.43,24.91,18.42,20.62,2.91,8.52,19.06,33.03,Asia
33,Singapore,144.39,27.63,21.56,22.0,25.18,6.92,12.83,10.39,17.84,Asia
34,Taiwan,143.23,18.75,24.09,24.76,17.52,6.76,9.12,18.09,24.1,Asia
35,Poland,141.83,20.83,24.98,21.32,13.99,3.97,11.08,19.03,26.6,Europe
36,Italy,140.76,20.64,17.54,20.95,21.17,3.05,10.83,17.5,29.04,Europe
37,Belarus,134.83,13.89,28.16,22.16,13.02,5.5,11.51,16.38,24.17,Europe
38,Greece,133.07,14.3,19.54,18.4,18.22,3.47,11.08,17.2,30.83,Europe
39,Romania,132.44,16.43,24.34,18.52,11.87,3.81,11.68,19.65,26.11,Europe
40,South Africa,131.97,24.34,7.44,21.21,14.17,1.29,13.04,18.95,31.5,Africa
41,Bulgaria,129.8,16.47,20.52,18.48,12.24,2.84,9.8,21.8,27.61,Europe
42,Hungary,128.16,16.06,21.92,16.14,13.79,4.98,12.08,16.31,26.84,Europe
